Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/DAfJfuySQXX/?utm_source=ig_web_copy_link
18043382924301383,62091802495,,annisarizky86,❤️❤️❤️,0,0,0,09/29/2024 7:36 PM,,,,
18263585248247585,2085340329,,ratihp_sr,MasyaAllah Allahuma baarik ❤️❤️,0,0,0,09/29/2024 7:37 PM,,,,
18343315345130922,12741755699,,sitiumikulsumk,Masyallah pengen ya allah😢,0,0,0,09/29/2024 7:39 PM,,,,
18031911992249875,54784543220,,dhandayani1,MasyaAllah kak cantiknya🥰,0,0,0,09/29/2024 7:39 PM,,,,
18068311876533030,64529518289,,puma_hwang,Masya allah mbak paula❤️❤️❤️❤️❤️,0,0,0,09/29/2024 7:40 PM,,,,
18353925184136074,58729428011,,1872rafa,Kak puala kpn main ke ciledug lagi❤,0,0,0,09/29/2024 7:40 PM,,,,
18025381751456276,6078302050,,byflowers.id,😍😍❤️❤️❤️❤️❤️,6,0,0,09/29/2024 7:40 PM,,,,
18025743656368242,68716373728,,giskafelisha,MasyaAllah 😍,0,0,0,09/29/2024 7:40 PM,,,,
18048352789785291,31131892255,,selcgst,❤️❤️❤️❤️,0,0,0,09/29/2024 7:41 PM,,,,
18108128482421911,7350191490,,cicahela_sari10,Masyaallah 🥰,0,0,0,09/29/2024 7:41 PM,,,,
18077147569546806,5728726268,,bachtiarsuriana,Semoha Allah ijabah doa doamu🥰,0,0,0,09/29/2024 7:41 PM,,,,
17894484570078093,7491402991,,eylink_,mashaallah cantik nya dia🥰,0,0,0,09/29/2024 7:42 PM,,,,
18053390830846831,1343603544,,sasantipertiwii,Masya Allah tabarakallah 🤍,9,0,0,09/29/2024 7:42 PM,,,,
18038211110128382,40188444358,,yayah1975_,Sehat...semangat sukses,0,0,0,09/29/2024 7:42 PM,,,,
18039269429157884,3292716301,,hieda_kirana,anggun buanget pake cadar😍,13,0,4,09/29/2024 7:45 PM,,,,
18066029962625604,5624464764,,meilyzadp,-@hieda_kirana maen kemari Best.. 🤭,0,1,0,09/30/2024 9:55 AM,,,,
17879382285119045,3292716301,,hieda_kirana,-@meilyzadp ayuuuu ah bismillah😍,0,1,0,09/30/2024 9:59 AM,,,,
17934412742795960,5624464764,,meilyzadp,-@hieda_kirana bismillah ya Best maen kita jauh mpe dimari.. Aamiin 🤲🏻,1,1,0,09/30/2024 11:42 AM,,,,
18028445099518727,3292716301,,hieda_kirana,-@meilyzadp ❤️,0,1,0,09/30/2024 11:46 AM,,,,
18071433310585857,18419252180,,bubu.brownies,😍😍😍,0,0,0,09/29/2024 7:45 PM,,,,
17866927746213283,1333428889,,endrydaniz,Selalu terharu bahagia lihat kak @paula_verhoeven  skr.. ☺️,1,0,0,09/29/2024 7:46 PM,,,,
18021808850600340,3006864557,,dk.rani_oktavia,Smoga istiqomah dalam berhijab kak aamiin ❤️❤️❤️,1,0,0,09/29/2024 7:47 PM,,,,
18056059531830241,4197592834,,etta_kia,MasyaAllah😍😇,0,0,0,09/29/2024 7:49 PM,,,,
18352017241136011,2312035031,,ayu_zulfashofiya,MasyaAllaah 😍,0,0,0,09/29/2024 7:49 PM,,,,
18025482902151110,2022120560,,palupikrakatao,❤️,4,0,0,09/29/2024 7:50 PM,,,,
18354965878142325,44016535717,,nbzstorecikarang,Masya Allah 😍,0,0,0,09/29/2024 7:51 PM,,,,
18243177505286775,2205566305,,dentama,😢😢😢inspirasi,1,0,0,09/29/2024 7:51 PM,,,,
18462446467049462,59242704756,,hildasellyn,Spek macem paula di sia2in dong,0,0,0,09/29/2024 7:51 PM,,,,
18058334194739929,67797268351,,riniriani81,"Disaat kita belajar ikhlas allag akan ringan kan dan mudahkan ..insyaAllah ,jika kita selalu pasrahkan kepada pemilik kita,dan tidak pernah menjauh dari allah.swt.💞",0,0,0,09/29/2024 7:51 PM,,,,
18023544677585851,4917355649,,devisukmaa14,Masya Allah ..tabarakallah KK Paula sehat sealu,0,0,0,09/29/2024 7:51 PM,,,,
17976658445765036,3267521181,,echiiechoo30,❤️,0,0,0,09/29/2024 7:52 PM,,,,
18078224029555339,144099582,,mia_aiiim,Definisi bergantung kepada Allag SWT 🔥🔥,3,0,0,09/29/2024 7:54 PM,,,,
17950529111847689,1801421302,,erlinaratihsavitri,😍😍😍😍,0,0,0,09/29/2024 7:54 PM,,,,
18064338613653532,3478154765,,ettypanca,❤️❤️❤️❤️❤️,0,0,0,09/29/2024 7:55 PM,,,,
18027968978347329,1508717417,,yayatoetink,Masya Allah😃,0,0,0,09/29/2024 7:55 PM,,,,
18041891095892096,29216446485,,mryntiiiii,Allahumma baarik kaka Allah bersamamu❤️,0,0,0,09/29/2024 7:55 PM,,,,
17972424167642568,1397272474,,apriliavan,MasyaAllah,0,0,0,09/29/2024 7:56 PM,,,,
18077920924548374,1821508501,,windha_mommicha,"Kak paula istiqomah sekali, banyak ujian kalo wanita sudah istiqoma",0,0,0,09/29/2024 7:56 PM,,,,
18049719394935139,4196275596,,r.dessy.fd_777,"semangat mama pau, demi kiano & kenzo.. semoga Allah melindungi kalian ber3 Aamiin",0,0,0,09/29/2024 7:56 PM,,,,
17989487792558723,3252983725,,rahmandut01,𝔸𝕝𝕝𝕒𝕙 𝕄𝕒𝕙𝕒 𝕓𝕒𝕚𝕜❤️❤️❤️❤️,0,0,0,09/29/2024 7:57 PM,,,,
"1,80284E+16",54009126292,,saraswati4990,"Yaa Allah....yg cantik aja menutup aurat kaya gini, salut bgt😢🥰",0,0,0,09/29/2024 7:57 PM,,,,
17858390742256733,5666746117,,faninovias10,Istiqomah yah kak ❤️🤲😇 doa terbaik buat kak Paula .,2,0,0,09/29/2024 7:58 PM,,,,
18008156069431527,6292821692,,yuswin_bundazzr,🥰❤️😍,0,0,0,09/29/2024 7:59 PM,,,,
18105694435430075,2262225765,,shifasabella,cantikkkk bangeett,0,0,0,09/29/2024 7:59 PM,,,,
17981747225743318,3878587239,,ekasriwahyuni666,❤️❤️❤️,0,0,0,09/29/2024 7:59 PM,,,,
18054275368889175,68967173095,,janganlelahberbagimenyayangi,Langsung mbuat YOUTUBE KHUSUS PRIBADI ukhtiPauFalah ya,0,0,0,09/29/2024 8:00 PM,,,,
17845851387317127,2017721297,,noor_maae,Masya Allah 😍 ijinkan hamba bisa berkunjung lagi di Masjidil Harom dan Nabawi 🤲,2,0,0,09/29/2024 8:01 PM,,,,
