Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/p/DDuQTB6yNjp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17934926411957550,60617438126,,sftlaisyahh_,Butuh buat USG bu icis semoga ke notice ❤️ @riaricis1795,1,0,0,12/18/2024 9:20 PM,,,,
18107321164406966,1404490986,,rahmawati_mo,Butuh pempes kakk,0,0,0,12/18/2024 9:20 PM,,,,
17994523889726002,32737089239,,evava____,Maniss seperti Moana ❤️,0,0,0,12/18/2024 9:20 PM,,,,
18070400164658446,51608472503,,ajanurjanah3,Butuh saweran dari Bu @riaricis1795 😍,0,0,1,12/18/2024 9:20 PM,,,,
17937396719958277,65498546029,,qaddafizhafran,Masyaallah,0,0,0,12/18/2024 9:20 PM,,,,
18052879799072194,2037939063,,jessiaristni_,di atas awan jg masih ada langit bu icis😁😁 @riaricis1795,2,0,0,12/18/2024 9:20 PM,,,,
18472540972026087,2299447412,,sitiapriliyani,😍😍,1,0,0,12/18/2024 9:20 PM,,,,
18019048391638803,4075964877,,nuvitridella,"Semoga bu icis dilindungi oleh allah SWT. Dan di panjang kan umur nya, di mudahkan rizkinya amin",0,0,0,12/18/2024 9:20 PM,,,,
18038260226075263,49118617160,,xx_dnadis,"Bismillah Bu Icis, butuh Sembakoo❤️❤️❤️❤️",1,0,0,12/18/2024 9:20 PM,,,,
18349322521124492,57414601211,,_aulix_,Butuh kasih sayang ibuk lagi😢❤️,1,0,0,12/18/2024 9:20 PM,,,,
18076264978609075,60617438126,,sftlaisyahh_,Butuh buat USG dede utun bu icis bismillah 🙌❤️,0,0,0,12/18/2024 9:20 PM,,,,
"1,81016E+16",47427594258,,agnesbsyv,Aduh2 canci amayyy,6,0,0,12/18/2024 9:20 PM,,,,
17985578456771442,3097421324,,mitaaprilliyanti,baju nya lucu 😍,0,0,0,12/18/2024 9:20 PM,,,,
18060590464723184,54658785204,,ar.in4639,Di balik badan ada baju yg kebesaran 🤣🤣🤣🤣🤣,13,0,3,12/18/2024 9:20 PM,,,,
17957753252740181,8278568210,,fr.mell__,Spill outfit bu @riaricis1795 🙌,1,0,0,12/18/2024 9:20 PM,,,,
17900955363095854,31236512608,,fatimh_azhra07,😍😍,2,0,0,12/18/2024 9:21 PM,,,,
17940106070944928,1795119971,,tania_maharani0410,Masyaallah❤️,1,0,0,12/18/2024 9:21 PM,,,,
18042723482242720,45842480720,,cewe_natural,Masyallah tabarakallah Bu ICIS tambah cantik 😍 Bu ICIS juga org Baek udh nyaweer org 😍,6,0,2,12/18/2024 9:21 PM,,,,
18079442125597777,832441261,,sh_tatita,Diatas alis namanya jidat kan atau kening?,0,0,0,12/18/2024 9:21 PM,,,,
18091275013509995,3445483621,,omihrr_,"Lagi butuh di notice buicis,fans dari 2015 nih senggol dong🤏🏻",0,0,0,12/18/2024 9:21 PM,,,,
17874614673234857,27428283164,,a_ervia11,Masyaallahh.. wink nya moana gemes dehh😂😍,0,0,0,12/18/2024 9:21 PM,,,,
17909090043063133,13283025466,,nafisyaichaa,kaka nya moana ya inii?,7,0,0,12/18/2024 9:21 PM,,,,
18078664969606055,1631306591,,dwiestuningsih88,ya allah moana gemezz buanget🤗,1,0,0,12/18/2024 9:21 PM,,,,
18013835012473127,7445329164,,jelita.2925_,"Masya Allah, wajah² orang yg suka berbagi tuh cerah banget ya😍 selalu memberi orang² saweran💵 @riaricis1795",2,0,0,12/18/2024 9:21 PM,,,,
18254476087284401,62079328621,,thericis_jateng18,hii cantik,50,0,1,12/18/2024 9:21 PM,,,,
18118595599417332,8082524395,,karmilah.01,sukaa liatnyya😍😍😍❤️❤️,1,0,0,12/18/2024 9:21 PM,,,,
18313530562160974,25784592980,,daisyrlll_,MasyaAllah,0,0,0,12/18/2024 9:21 PM,,,,
17988089249758259,60052314051,,_spamlia4,Pengen di sawer bismillah,0,0,0,12/18/2024 9:21 PM,,,,
18030612092526514,7460765987,,alfiasriinayh_,Mau sewerannya dong ka icis🔥😍,0,0,0,12/18/2024 9:21 PM,,,,
17875136712142690,55172843421,,aku_yessii,Diatas alis masih ada jidat yg pernah km kecup tapi setelah nya km lupakan🙏🙏 puntenn,0,0,0,12/18/2024 9:21 PM,,,,
17969770484688758,45654882507,,hcra_hendra_rina,Ampun ketua ini terlalu keren😍 bu icis dan Moana macam apotek tutup gk ada obat🔥😍,0,0,0,12/18/2024 9:21 PM,,,,
18469384504039046,49039810955,,almines2p,"semoga ak bisa ky buicis, Suksesnya aaamiinn😍🥰💐",0,0,0,12/18/2024 9:21 PM,,,,
17864022588285924,28513127643,,krstinamonica,Dimana ada bu icis di situ ada si manis (moana)😅🫶🏻,1,0,0,12/18/2024 9:21 PM,,,,
18051983681066624,22825593782,,firdaa_nfdillah21,Gak muluk2 bulan ini lagi butuh DUIT udah. Bener deh ga boong,1,0,0,12/18/2024 9:21 PM,,,,
18353696290193766,9875016428,,vaa1818,Butuuuuuh sate taichan bu icis😂,1,0,0,12/18/2024 9:21 PM,,,,
17933182097967612,24274047030,,maisaroh1905,Camtiq amay buicisss,2,0,0,12/18/2024 9:21 PM,,,,
17990360579602523,40860733718,,tiara_6560,"Cantik manis manja banget bu icis,,wer sawer dong buat liburan ahir taun😂",2,0,0,12/18/2024 9:21 PM,,,,
17891183028139530,39561335920,,kiptia_dwinabila,MaasyaAllah TabarakAllah kaya ada manis2 nya 😍😍 cantik bgt bu icis 🫶🏻💐,0,0,0,12/18/2024 9:21 PM,,,,
18016728488406131,49965064338,,ninceeeeeeeeeeeeeeeeeee,Masyallah cantik banget sih Moana dan Bu icis,0,0,0,12/18/2024 9:21 PM,,,,
18054797794817924,5978172592,,nelafajaria,Mempesona❤️,0,0,0,12/18/2024 9:21 PM,,,,
18313832326160305,5037781016,,dimasdy26,Sehat sehat mamah muda 😊,0,0,0,12/18/2024 9:21 PM,,,,
18114986611421513,6765080530,,lidiarhma_,butuh dia😢,2,0,0,12/18/2024 9:21 PM,,,,
18081218062565109,64571488614,,enitarin29,"Diatas moana msh ada bu icis😍 sehat2 selaluu moanaaa, Allahumabariik❤️",1,0,0,12/18/2024 9:21 PM,,,,
18043357777984597,70521258357,,khaaa_risss,"Moana gemes 😍,sehat selalu Bu icis dan keluarga,",1,0,0,12/18/2024 9:21 PM,,,,
18045393185156832,21271653705,,alyahindahwahyunidua,Masya allah cantik gini ko sidia gk mau sih,0,0,0,12/18/2024 9:21 PM,,,,
17924597250005095,1944887853,,im_rohimah,Lewat beranda ku 1menit yang lalu semoga kali ini dilirik samaa Bu icis komen ku 😍😍😚😚😚,0,0,0,12/18/2024 9:21 PM,,,,
18024627005308978,47885235719,,sanialil_zulfa,Butuh dia selalu ada buat aku ciss😢,0,0,0,12/18/2024 9:22 PM,,,,
18075170248622341,2192615841,,aasiiih_,❤️❤️,0,0,0,12/18/2024 9:22 PM,,,,
